painter_name,summary,embeddings
Albrecht Dürer,"Albrecht Dürer (; German: [ˈʔalbʁɛçt ˈdyːʁɐ]; 21 May 1471 – 6 April 1528), sometimes spelled in English as Durer, was a German painter, printmaker, and theorist of the German Renaissance. Born in Nuremberg, Dürer established his reputation and influence across Europe in his twenties due to his high-quality woodcut prints. He was in contact with the major Italian artists of his time, including Raphael, Giovanni Bellini, and Leonardo da Vinci, and from 1512 was patronized by Emperor Maximilian I.
Dürer's vast body of work includes engravings, his preferred technique in his later prints, altarpieces, portraits and self-portraits, watercolours and books. The woodcuts series are stylistically more Gothic than the rest of his work, but revolutionised the potential of that medium, while his extraordinary handling of the burin expanded especially the tonal range of his engravings; well-known engravings include the three Meisterstiche (master prints) Knight, Death and the Devil (1513), Saint Jerome in his Study (1514), and Melencolia I (1514). His watercolours mark him as one of the first European landscape artists, and with his confident self-portraits he pioneered them as well as autonomous subjects of art.
Dürer's introduction of classical motifs  and of the nude into Northern art, through his knowledge of Italian artists and German humanists, has secured his reputation as one of the most important figures of the Northern Renaissance. This is reinforced by his theoretical treatises, which involve principles of mathematics for linear perspective and body proportions.","[-0.056997984647750854, 0.024535084143280983, -0.028721828013658524, -0.01904861442744732, -0.11073841899633408, 0.0005735947052016854, -0.006051683332771063, 0.02911437675356865, -0.041750501841306686, -0.07048805803060532, -0.06325770914554596, -0.05813758075237274, 0.03421062231063843, 0.003068195655941963, -0.05627988651394844, 0.01746942475438118, -0.07675552368164062, 0.13781322538852692, 0.03952420502901077, 0.0033770534209907055, -0.012076005339622498, -0.02114347741007805, -0.007931683212518692, -0.07266312092542648, 0.0664554089307785, 0.032016344368457794, 0.0054216631688177586, -0.043389011174440384, 0.0411837175488472, -0.03329329565167427, -0.025629647076129913, -0.040813278406858444, -0.11262819916009903, -0.05524935945868492, -0.010360712185502052, -0.037117619067430496, -0.00034333908115513623, 0.028041856363415718, 0.03449801355600357, 0.038697801530361176, -0.029313839972019196, 0.08185696601867676, -0.11076583713293076, 0.09708356112241745, -0.017796512693166733, -0.031169408932328224, -0.10718218237161636, 0.10844039916992188, -0.050550710409879684, 0.027168622240424156, -0.03699975833296776, -0.015916971489787102, 0.041696976870298386, -0.035011954605579376, 0.009651567786931992, -0.06295472383499146, 0.03423274680972099, -0.002799113979563117, 0.010614161379635334, 0.06448715925216675, -0.09621308743953705, 0.05744023993611336, -0.00881264079362154, -0.03208363056182861, -0.0019311835058033466, 0.00345379626378417, -0.05110720545053482, 0.008823500946164131, -0.08707339316606522, 0.03418814390897751, 0.02514796145260334, -0.08724629133939743, -0.01456824503839016, -0.060794394463300705, 0.043570760637521744, -0.1076502725481987, -0.02439408376812935, 0.036034729331731796, -0.08754461258649826, -0.11263372004032135, 0.018621638417243958, 0.035032808780670166, 0.02971692755818367, 0.10129286348819733, 0.002351266797631979, -0.015979956835508347, 0.02170654386281967, -0.047490064054727554, 0.038765422999858856, 0.006413663271814585, 0.09958352893590927, -0.020405953750014305, -0.09785639494657516, 0.03846732899546623, 0.07087846845388412, 0.04933702573180199, 0.00931207463145256, 0.10550051927566528, 0.04411439970135689, 0.02742292732000351, -0.0056137037463486195, -0.03308761864900589, 0.06372299045324326, 0.03974759206175804, 0.02256866917014122, -0.013994903303682804, 0.04280610755085945, 0.014248034916818142, -0.02138606272637844, -0.06433584541082382, 0.028555940836668015, -0.017370447516441345, -0.04338226467370987, -0.02415984682738781, 0.05152104049921036, 0.003697730368003249, -0.01560590323060751, -0.04061274603009224, 0.001164164743386209, 0.004221821669489145, 0.01733054779469967, 0.048507045954465866, -0.05663841590285301, 0.05538349226117134, -0.038166847079992294, -0.0038742886390537024, 0.008054309524595737, 9.228340542340258e-34, 0.024775929749011993, 0.02532697655260563, -0.012948689982295036, 0.05298192799091339, -0.034922245889902115, 0.025029854848980904, -0.017945757135748863, 0.06866424530744553, -0.004598808009177446, -0.09683030098676682, -0.004760328680276871, -0.0334305465221405, -0.0745307207107544, 0.12221711128950119, -0.07432064414024353, -0.007941079325973988, 0.10965141654014587, -0.006032987497746944, -0.02327568084001541, -0.04472396895289421, 0.011093725450336933, -0.0212385430932045, 0.02115950547158718, 0.06487521529197693, 0.020646078512072563, 0.11255152523517609, 0.042895007878541946, -0.012018563225865364, 0.005817088298499584, 0.012802718207240105, -0.016922760754823685, -0.0033521363511681557, 0.00024902791483327746, -0.05313710868358612, -0.03692314773797989, 0.06359860301017761, -0.01655292510986328, -0.05415435880422592, -0.012560920789837837, 0.08195628970861435, 0.05068100616335869, 0.007824149914085865, 0.005411799997091293, -0.024721292778849602, 0.013535146601498127, -0.00828954391181469, -0.00996268168091774, 0.05066567659378052, -0.06198965385556221, 0.06597111374139786, -0.07181908190250397, 0.06175622716546059, 0.014997705817222595, 0.050491854548454285, -0.00932252500206232, 0.018338948488235474, -0.018213283270597458, -0.02065129205584526, 0.005209648050367832, -0.038216788321733475, -0.026707038283348083, 0.10859084874391556, -0.04973625764250755, 0.12299492955207825, -0.033204130828380585, 0.04316478595137596, -0.01624453440308571, 0.07397760450839996, 0.030032170936465263, -0.030606895685195923, -0.11253944784402847, 0.050057586282491684, -0.04282707720994949, -0.09725847095251083, 0.015310441143810749, 0.04263227432966232, -0.029691392555832863, 0.0058104367926716805, -0.06192105636000633, -0.05449230223894119, -0.09821616113185883, 0.03936760127544403, -0.0023369176778942347, -0.07026010751724243, -0.04293938726186752, 0.026425795629620552, 0.007492503151297569, 0.017673511058092117, 0.002057374222204089, 0.037917088717222214, 0.003253988455981016, -0.01780390925705433, 0.061561185866594315, -0.025426415726542473, -0.10420496016740799, -3.3043682520912065e-33, -0.060934409499168396, -0.07894764840602875, 0.09399404376745224, 0.07240020483732224, -0.006118489895015955, -0.055536117404699326, -0.15723788738250732, 0.07058924436569214, -0.0046209776774048805, -0.027150385081768036, 0.016277635470032692, 0.03443259745836258, -0.03466399386525154, -0.023547695949673653, -0.04648333415389061, -0.010634878650307655, 0.005800705868750811, 0.08824989199638367, -0.07126913219690323, -0.02698853425681591, 0.054127082228660583, 0.03827240318059921, -0.0016183715779334307, -0.02438661828637123, -0.09161225706338882, 0.047548700124025345, 0.0947493314743042, -0.11343010514974594, 0.023748690262436867, 0.06946706771850586, 0.04494989663362503, -0.012643399648368359, 0.022779181599617004, -0.016988977789878845, 0.07982578873634338, 0.06091263145208359, 0.02426333911716938, 0.07005783915519714, -0.014687104150652885, 0.08444730937480927, -0.02480347640812397, 0.01972074992954731, 0.02707989327609539, -0.00581832230091095, 0.03398221731185913, -0.0026473221369087696, -0.030848609283566475, 0.006293404381722212, 0.041093409061431885, 0.05381999909877777, 0.036799896508455276, -0.03585852310061455, 0.05124768987298012, -0.01019673328846693, -0.09185048192739487, -0.09146849811077118, 0.02707974798977375, -0.06329313665628433, 0.013799549080431461, 0.08420387655496597, 0.020707203075289726, 0.03297589719295502, -0.015149322338402271, 0.017794935032725334, -0.0003732203913386911, -0.052676934748888016, -0.07245233654975891, 0.09080344438552856, -0.003574684262275696, -0.056032873690128326, -0.02439691498875618, -0.004912148229777813, 0.02055593580007553, 0.043458811938762665, -0.05629722774028778, -0.012956961989402771, 0.0618244968354702, 0.01122202631086111, 0.008365199901163578, 0.009407101199030876, -0.01983511820435524, -0.0222718995064497, -0.041884809732437134, -0.0030630340334028006, -0.02020416036248207, -0.008901956491172314, -0.07213310152292252, -0.0381443053483963, -0.016947066411376, -0.02241545543074608, 0.016002949327230453, 0.0344453901052475, 0.04642372950911522, 0.0024175194557756186, 0.02225649729371071, -4.864137537197166e-08, -0.03503857180476189, 0.03264781832695007, 0.02061714045703411, 0.014529682695865631, 0.002837990876287222, -0.12006855756044388, -0.012728678062558174, -0.029329832643270493, -0.03663221746683121, 0.004413251765072346, -0.010509761981666088, 0.0044594272039830685, -0.025286223739385605, -0.08437519520521164, 0.09718198329210281, -0.05515899881720543, 0.10233280062675476, -0.11218643188476562, -0.008211113512516022, 0.027917955070734024, 0.07829907536506653, -0.04735532030463219, 0.08636444807052612, -0.057388320565223694, -0.044883452355861664, -0.0711517408490181, -0.03053792379796505, -0.028463052585721016, -0.039520394057035446, 0.014533093199133873, 0.012931103818118572, 0.11362622678279877, 0.054963119328022, -0.0011123898439109325, 0.038690660148859024, -0.012542711570858955, 0.0006119233439676464, -0.04364554211497307, -0.033962175250053406, 0.05432978272438049, 0.0562174953520298, -0.05339256674051285, 0.054853394627571106, -0.00031528164981864393, 0.022662878036499023, -0.08143763989210129, 0.08841841667890549, -0.040895674377679825, 0.03791707009077072, 0.034406110644340515, -0.04956922307610512, 0.039896585047245026, 0.13681569695472717, 0.038244809955358505, -0.020070930942893028, -0.013187496922910213, 0.027063792571425438, 0.0356946624815464, 0.01833024062216282, 0.03153202310204506, 0.06063413619995117, -0.03809168189764023, 0.03970995917916298, 0.04407810792326927]"
Andy Warhol,"Andy Warhol (; born Andrew Warhola Jr.; August 6, 1928 – February 22, 1987) was an American visual artist, film director and producer. A leading figure in the pop art movement, Warhol is considered one of the most important American artists of the second half of the 20th century. His works explore the relationship between artistic expression, advertising, and celebrity culture that flourished by the 1960s, and span a variety of media, including painting, silkscreening, photography, film, and sculpture. Some of his best-known works include the silkscreen paintings Campbell's Soup Cans (1962) and Marilyn Diptych (1962), the experimental films Empire (1964) and Chelsea Girls (1966), and the multimedia events known as the Exploding Plastic Inevitable (1966–67).
Born and raised in Pittsburgh, Warhol initially pursued a successful career as a commercial illustrator in the 1950s. After exhibiting his work in art galleries, he began to receive recognition as an influential and controversial artist in the 1960s. His New York studio, The Factory, became a well-known gathering place that brought together distinguished intellectuals, drag queens, playwrights, Bohemian street people, Hollywood celebrities and wealthy patrons. He directed and produced several underground films starring a collection of personalities known as Warhol superstars, and is credited with inspiring the widely used expression ""15 minutes of fame."" Warhol managed and produced the experimental rock band the Velvet Underground. He also founded Interview and authored numerous books, including The Philosophy of Andy Warhol and Popism: The Warhol Sixties.
In June 1968, Warhol was almost killed by radical feminist Valerie Solanas, who shot him inside his studio. After gallbladder surgery, Warhol died of cardiac arrhythmia in February 1987 at the age of 58 in New York.
Warhol has been the subject of numerous retrospective exhibitions, books, and feature and documentary films. The Andy Warhol Museum in his native city of Pittsburgh, which holds an extensive permanent collection of art and archives, is the largest museum in the United States dedicated to a single artist. Warhol has been described as the ""bellwether of the art market"". Many of his creations are very collectible and highly valuable. His works include some of the most expensive paintings ever sold. In 2013, a 1963 serigraph titled Silver Car Crash (Double Disaster) sold for $105 million. In 2022, Shot Sage Blue Marilyn (1964) sold for $195 million, which is the most expensive work of art sold at auction by an American artist.","[0.0025709313340485096, -0.08942723274230957, 0.008927063085138798, -0.04852674528956413, 0.025427648797631264, 0.04990240931510925, 0.0686231181025505, -0.04795277118682861, -0.05489322915673256, -0.10120321065187454, 0.021730346605181694, 0.02499355375766754, 0.06018991768360138, 0.05253159627318382, 0.011999265290796757, 0.10487166047096252, 0.010842334479093552, -0.015746455639600754, 0.01112060435116291, 0.03582210838794708, 0.007813766598701477, -0.0970294177532196, 0.03850661218166351, -0.03463440760970116, 0.026631399989128113, 0.06874418258666992, 0.009300709702074528, 0.04781123250722885, 0.03537793830037117, 0.058924734592437744, 0.03805768862366676, 0.047978244721889496, -0.08865310996770859, -0.05892220139503479, 0.06583943217992783, 0.028453752398490906, 0.036620210856199265, 0.06726732850074768, -0.05258112773299217, -0.05510145053267479, -0.08927763998508453, -0.06986173242330551, -0.06272690743207932, -0.010423917323350906, 0.022966740652918816, -0.038149334490299225, 0.017023615539073944, -0.004605802707374096, 0.015072138980031013, 0.012429218739271164, -0.058529384434223175, -0.04176104813814163, 0.007051275111734867, -0.07687779515981674, 0.06694302707910538, -0.10297033935785294, 0.05090833827853203, 0.01674940064549446, 0.011757982894778252, 0.015589585527777672, -0.07750192284584045, -0.014256942085921764, 0.021167665719985962, 0.02880878932774067, 0.08064297586679459, 0.0851985365152359, -0.0350847989320755, 0.05580619350075722, -0.022142738103866577, -0.042047977447509766, -0.026654787361621857, -0.0058031026273965836, -0.027414966374635696, -0.016385553404688835, -0.03647618740797043, -0.039672575891017914, -0.057275477796792984, -0.02167770452797413, -0.06542687118053436, 0.04416811093688011, 0.1042584627866745, -0.032440245151519775, -0.032309409230947495, -0.0019079246558248997, -0.05027405917644501, -0.014685912989079952, -0.024545302614569664, -0.02335178852081299, -0.015716977417469025, 0.08612806349992752, -0.0754043459892273, 0.006352299824357033, -0.05772676691412926, 0.03084832802414894, 0.10781356692314148, -0.06320484727621078, 0.005188445560634136, -0.06905631721019745, 0.06430980563163757, 0.019816240295767784, -0.016992617398500443, -0.03958030045032501, 0.007624405436217785, -0.08143371343612671, 0.07221172004938126, -0.06443168967962265, 0.005500240717083216, 0.039405032992362976, -0.04948059469461441, 0.05499105155467987, -0.05736401304602623, 0.03892536461353302, 0.035339828580617905, 0.039902448654174805, 0.008467612788081169, -0.1023026555776596, -0.004666675813496113, -0.03171662613749504, -0.07695315033197403, -0.05618921294808388, -0.015926379710435867, 0.07013938575983047, -0.02771005593240261, -0.009864403866231441, -0.025709226727485657, -0.06408268213272095, -0.011534512974321842, -2.5860730618006396e-33, 0.02072245068848133, 0.01359841600060463, 0.06385952979326248, 0.14330017566680908, 0.04623449221253395, 0.03519183769822121, 0.08030550181865692, 0.03052697703242302, 0.05208143964409828, -0.02168552204966545, 0.07287551462650299, -0.07295552641153336, -0.0645492896437645, 0.019550221040844917, 0.0749419629573822, 0.00393966119736433, 0.0019535154569894075, 0.002802853239700198, 0.05698349326848984, 0.009289800189435482, -0.11666832119226456, -0.010132823139429092, 0.010468137450516224, -0.015945274382829666, -0.10894273221492767, 0.08439622819423676, -0.05292965844273567, 0.006665128283202648, 0.03829573094844818, 0.03391662612557411, -0.02041756920516491, 0.046369533985853195, -0.02691296674311161, 0.02694050595164299, -0.012244614772498608, -0.031918372958898544, -0.09124087542295456, -0.06490535289049149, 0.017810925841331482, 0.033406853675842285, -0.010684115812182426, 0.049682240933179855, 0.016896897926926613, 0.0040434580296278, -0.07612250000238419, 0.1095302626490593, -0.001190122333355248, 0.05326265096664429, -0.054014671593904495, 0.033913504332304, 0.004062015097588301, 0.08186693489551544, -0.02890053577721119, -0.02706635370850563, -0.021198317408561707, 0.0120222894474864, -0.022651812061667442, -0.057785820215940475, -0.005995439365506172, -0.03126796334981918, -0.024864720180630684, 0.17639049887657166, 0.0150801045820117, 0.030712846666574478, -0.029528919607400894, 0.0800023302435875, 0.03880321606993675, -0.017450818791985512, -0.08491002768278122, 0.07168260216712952, -0.029705388471484184, 0.011033305898308754, -0.0022965827956795692, -0.05926380306482315, 0.0058025396429002285, 0.010448751039803028, 0.031116962432861328, -0.03413114324212074, -0.022294532507658005, -0.034931499511003494, 0.032475121319293976, 0.020017025992274284, 0.04054594412446022, -0.0630006492137909, -0.09326478838920593, -0.029658963903784752, 0.008278319612145424, 0.03525130823254585, -0.010912027209997177, 0.0019933050498366356, -0.0020444588735699654, -0.10369640588760376, 0.016382237896323204, -0.006268359255045652, -0.0777178630232811, -4.306911200722049e-34, 0.022739067673683167, -0.043577685952186584, 0.06683298945426941, -0.06580927222967148, 0.08453435450792313, -0.04626968130469322, -0.041193000972270966, 0.03907562792301178, 0.07738633453845978, 0.01843506097793579, 0.02334607020020485, 0.008193974383175373, -0.06976097077131271, 0.0036956341937184334, -0.07912188768386841, -0.0067363022826612, 0.025392640382051468, -0.04622482508420944, -0.03305405378341675, -0.05191222205758095, 0.023899972438812256, 0.03574210777878761, 0.034556563943624496, -0.0012190549168735743, -0.04984011873602867, 0.07943317294120789, 0.06518322229385376, 0.02079525776207447, 0.07056674361228943, 0.03835907578468323, 0.07417674362659454, 0.002352446084842086, 0.008119633421301842, -0.01042931154370308, 0.0246259868144989, -0.014826337806880474, 0.03178679943084717, -0.09966472536325455, 0.02409575879573822, -0.025818055495619774, -0.017126360908150673, 0.00393649423494935, -0.07655715942382812, 0.0424073152244091, 0.008937595412135124, -0.04632454738020897, -0.14622144401073456, -0.0644608736038208, 0.05170135572552681, -0.0217985138297081, -0.03116539493203163, 0.07555584609508514, 0.009618641808629036, -0.006600601132959127, 0.006752579472959042, -0.028921037912368774, 0.03003617934882641, -0.056274738162755966, 0.055158618837594986, 0.05786623805761337, -0.050325121730566025, 0.022370941936969757, -0.0651003047823906, -0.07662516087293625, -0.04886389896273613, -0.03937612473964691, 0.007056730333715677, -0.04582515358924866, -0.03823746740818024, -0.067669577896595, 0.08105643838644028, 0.08945072442293167, 0.04351494833827019, 0.005222436971962452, -0.06356052309274673, -0.013099987991154194, 0.030452001839876175, 0.007806643843650818, 0.01924779638648033, -0.05403386056423187, -0.0352773480117321, 0.05417997017502785, 0.04443737864494324, 0.05790282413363457, -0.010481292381882668, 0.042978685349226, -0.04920342564582825, -0.01259242370724678, -0.04136957600712776, -0.03678438812494278, 0.11203664541244507, -0.01804768480360508, -0.009016996249556541, 0.0854746550321579, 0.04763490706682205, -5.3543935507605056e-08, -0.0995577797293663, -0.05223898962140083, 0.0729498341679573, -0.08215310424566269, -0.0014133863151073456, 0.06495847553014755, -0.018948176875710487, 0.004381937440484762, 0.10028382390737534, -0.04659360274672508, 0.021770741790533066, 0.02432938851416111, 0.023595906794071198, 0.06246337667107582, -0.05102401226758957, -0.09371709078550339, 0.019534701481461525, -0.022188516333699226, -0.022856254130601883, -0.007067118305712938, 0.04483281075954437, -0.057521041482686996, 0.08805155754089355, -0.036012377589941025, -0.006183887831866741, -0.05432897433638573, 0.012102135457098484, -0.06240129843354225, -0.05846773833036423, 0.03901894390583038, -0.09962539374828339, 0.035931043326854706, -0.028143923729658127, 0.022767426446080208, -0.019988954067230225, -0.04763859137892723, 0.020582621917128563, -0.06123046204447746, -0.1341974288225174, 0.0072254640981554985, 0.002204395364969969, -0.0005339300842024386, 0.027224402874708176, 0.002908715745434165, 0.11844777315855026, 0.024968663230538368, 0.06957834213972092, 0.03890502452850342, -0.0027519783470779657, 0.11204174906015396, 0.03298984467983246, 0.05760778859257698, 0.03136870265007019, 0.004849063698202372, -0.004080591723322868, -0.027880186215043068, -0.061681922525167465, 0.060893651098012924, 0.01993640698492527, 0.02672935463488102, 0.003958819434046745, -0.002867248374968767, 0.04476772993803024, 0.0414593480527401]"
Hokusai,"Katsushika Hokusai (葛飾 北斎, c. 31 October 1760 – 10 May 1849), known simply as Hokusai, was a Japanese ukiyo-e artist of the Edo period, active as a painter and printmaker. He is best known for the woodblock print series Thirty-Six Views of Mount Fuji, which includes the iconic print The Great Wave off Kanagawa. Hokusai was instrumental in developing ukiyo-e from a style of portraiture largely focused on courtesans and actors into a much broader style of art that focused on landscapes, plants, and animals. His works are thought to have had a significant influence on Vincent van Gogh and Claude Monet during the wave of Japonisme that spread across Europe in the late 19th century.
Hokusai created the monumental Thirty-Six Views of Mount Fuji as a response to a domestic travel boom in Japan and as part of a personal interest in Mount Fuji. It was this series, specifically, The Great Wave off Kanagawa and Fine Wind, Clear Morning, that secured his fame both in Japan and overseas.
Hokusai was best known for his woodblock ukiyo-e prints, but he worked in a variety of mediums including painting and book illustration. Starting as a young child, he continued working and improving his style until his death, aged 88. In a long and successful career, Hokusai produced over 30,000 paintings, sketches, woodblock prints, and images for picture books in total. Innovative in his compositions and exceptional in his drawing technique, Hokusai is considered one of the greatest masters in the history of art.","[-0.024148855358362198, 0.04442296922206879, -0.02080627903342247, -0.023833172395825386, 0.001555194379761815, -0.024304119870066643, 0.02523142471909523, 0.0632326528429985, -0.11759544163942337, -0.04369344562292099, 0.033999260514974594, -0.015651386231184006, -0.011302066035568714, 0.0396244116127491, 0.038396935909986496, 0.02723640576004982, -0.022301774471998215, 0.04904661327600479, 0.03955824673175812, 0.03646944835782051, -0.00433712312951684, -0.05461566522717476, 0.010825002565979958, -0.040921036154031754, 0.09976865351200104, 0.05333320051431656, 0.039770130068063736, -0.030240824446082115, 0.006057851016521454, 0.021975237876176834, -0.03417382761836052, 0.030092142522335052, 0.029577359557151794, -0.02444797195494175, 0.027378814294934273, 0.06860385835170746, -0.01490541361272335, 0.02413981594145298, -0.02474755235016346, -0.05692020431160927, -0.022450866177678108, 0.04711182042956352, 0.004110479727387428, -0.03847609832882881, 0.08610060065984726, -0.004732263274490833, -0.07202299684286118, -0.024133769795298576, -0.00184621661901474, -0.031058432534337044, -0.07376473397016525, -0.041880182921886444, -0.0035391533747315407, -0.08015276491641998, 0.019957546144723892, -0.072072833776474, 0.033512454479932785, -0.03798973932862282, 0.08623233437538147, 0.010902519337832928, -0.07155897468328476, -0.003001738805323839, 0.04453552886843681, -0.00929043348878622, 0.02836211957037449, -0.019083112478256226, -0.10516495257616043, 0.00039113350794650614, 0.010650943033397198, 0.030078144744038582, 0.05499793961644173, 0.014720652252435684, 0.028832754120230675, -0.05218558385968208, -0.054835595190525055, -0.034977566450834274, -0.07542788237333298, -0.02020585536956787, -0.10657968372106552, -0.07044611126184464, 0.06665486097335815, 0.02903093211352825, -0.010473969392478466, 0.0485013909637928, -0.03977944329380989, 0.0643872395157814, 0.02491629309952259, -0.056426696479320526, -4.213093779981136e-05, 0.09368260204792023, 0.06637256592512131, 0.024838553741574287, -0.047193050384521484, 0.009199724532663822, -0.012643414549529552, -0.09904655069112778, 0.017393840476870537, 0.051769766956567764, -0.012557895854115486, 0.015144803561270237, 0.07814599573612213, -0.033704549074172974, 0.016235092654824257, -0.002360196551308036, -0.0271765049546957, -0.10076457262039185, 0.0481707789003849, 0.018780304118990898, -0.07575435936450958, 0.010768192820250988, -0.021953683346509933, -0.005234985146671534, -0.03637602925300598, -0.0693666934967041, 0.0003434563404880464, -0.042582880705595016, 0.019709285348653793, 0.0292686577886343, -0.043193187564611435, -0.00800774060189724, 0.09012912958860397, 0.0294047761708498, 0.057762254029512405, 0.024519657716155052, -0.024448201060295105, -0.021142806857824326, -0.0022818685974925756, 2.321258980144341e-33, 0.08557117730379105, 0.04292815923690796, 0.008025235496461391, -0.010184129700064659, 0.07799669355154037, -0.04462482035160065, -0.053393445909023285, 1.752341995597817e-05, 0.013356965035200119, -0.029604850336909294, -0.05844304710626602, 0.06714677065610886, -0.010150310583412647, 0.04964185506105423, -0.0031116686295717955, 0.02992367558181286, 0.0380685031414032, 0.003393586492165923, 0.006785915233194828, 0.07785816490650177, 0.0431189127266407, -0.05780971795320511, -0.0008679257007315755, -0.04528646543622017, -0.11035934090614319, 0.048129282891750336, 0.014189871028065681, -0.042591266334056854, -0.08492831885814667, 0.07537150382995605, -0.022816793993115425, -0.014325960539281368, 0.020594585686922073, -0.03976597264409065, -0.028292043134570122, -0.02851039730012417, -0.025088388472795486, -0.08422083407640457, -0.014620217494666576, 0.002181445946916938, -0.008026699535548687, 0.0023241573944687843, 0.0017093634232878685, 0.022484272718429565, 0.026745254173874855, 0.03310343250632286, 0.056293997913599014, 0.10837063193321228, -0.03840629756450653, 0.0762874186038971, -0.028170883655548096, -0.04333950951695442, -0.05425858870148659, 0.035879477858543396, -0.03211802616715431, 0.022184664383530617, 0.06891527026891708, -0.09445417672395706, 0.028077319264411926, 0.006109486799687147, 0.006078665144741535, 0.09159144759178162, 0.004283952992409468, 0.020396413281559944, -0.06675223261117935, 0.05025700479745865, 0.05204010754823685, -0.05797154828906059, -0.13832026720046997, -0.007562578190118074, -0.02958301082253456, -0.06936585158109665, 0.010625569149851799, -0.055810362100601196, -0.041233040392398834, -0.032783083617687225, -0.06497573107481003, 0.020142463967204094, -0.11235948652029037, 0.08510194718837738, -0.09625869989395142, 0.05068812146782875, -0.007409893441945314, -0.04687017947435379, 0.023826293647289276, 0.09626167267560959, 0.0493522547185421, 0.025835325941443443, -0.0009913461981341243, 0.04404330998659134, -0.04045537859201431, -0.04795065149664879, 0.09484023600816727, -0.08700776845216751, -0.07736267149448395, -2.8405088140361237e-33, -0.010074201039969921, -0.01987043209373951, -0.000802351685706526, -0.011085106059908867, 0.013048605062067509, -0.032459307461977005, -0.0569835901260376, 0.042215969413518906, -0.01673385128378868, -0.028548793867230415, 0.03637749329209328, -0.03609001263976097, 0.0035961989779025316, 0.008858214132487774, -0.03577200695872307, -0.034711211919784546, 0.038247257471084595, 0.07441089302301407, -0.06170576065778732, -0.057012006640434265, 0.060534149408340454, -0.09714997559785843, 0.02355298399925232, -0.002200726419687271, 0.027269747108221054, 0.12723082304000854, 0.07286025583744049, -0.06148891523480415, -0.02512552961707115, 0.09312564134597778, -0.12328915297985077, 0.000624889915343374, 0.03209495171904564, 0.037465743720531464, 0.033430855721235275, 0.08091139793395996, 0.010188364423811436, -0.05461942404508591, 0.008699651807546616, 0.02598121017217636, -0.06802113354206085, 0.02522912807762623, 0.07219887524843216, 0.010903468355536461, -0.0849309116601944, -0.035168230533599854, -0.02213560789823532, 0.1708378940820694, 0.010304700583219528, 0.006739667616784573, 0.04467430338263512, 0.03327740728855133, 0.0397263802587986, -0.004197264555841684, -0.05862652137875557, 0.009129416197538376, -0.000756932538934052, -0.029411040246486664, -0.047991346567869186, 0.010729853063821793, 0.016913581639528275, -0.09503712505102158, -0.0003127205709461123, 0.02831220254302025, -0.017718125134706497, 0.020554786548018456, 0.08632488548755646, -2.696441879379563e-05, -0.036016423255205154, -0.09876525402069092, -0.05386510491371155, -0.001728688133880496, 0.06018175184726715, 0.04911453649401665, -0.016605615615844727, -0.002745715668424964, -0.006715570576488972, 0.08686026930809021, 0.09977298974990845, -0.006404990330338478, -0.052531104534864426, 0.059009723365306854, -0.042321108281612396, 0.015783414244651794, 0.05954192951321602, -0.00884723849594593, -0.10981830209493637, -0.06283141672611237, 7.7997894550208e-05, -0.017969919368624687, 0.06736268848180771, 0.09781051427125931, 0.006971272174268961, 0.06275356560945511, 0.041055817157030106, -4.510693685233491e-08, -0.0612640380859375, -0.059626784175634384, 0.046539030969142914, -0.01512322947382927, 0.008687560446560383, -0.06536821275949478, -0.010115590877830982, -0.020387394353747368, 0.004974883981049061, -0.033697325736284256, 0.05205762758851051, 0.0656919851899147, -0.018270092085003853, -0.01349732931703329, 0.01238603051751852, -0.07042589783668518, 0.09844475239515305, 0.008239662274718285, -0.03137657418847084, 0.007195091340690851, 0.05645311251282692, -0.07102753967046738, 0.04279095306992531, -0.0957503542304039, -0.06179274618625641, 0.036333028227090836, -0.0004604578425642103, 0.0005489513278007507, 0.005800020880997181, -0.06502677500247955, -0.008817888796329498, 0.032591477036476135, -0.06853839755058289, 0.002286763396114111, 0.07714460045099258, 0.0036857689265161753, -0.10390500724315643, -0.07447749376296997, -0.1170319989323616, 0.032150693237781525, -0.0393202044069767, 0.036703310906887054, 0.03420822322368622, 0.032794658094644547, 0.043934427201747894, 0.026250984519720078, 0.05159385874867439, 0.01129448413848877, -0.047599293291568756, 0.036315321922302246, -0.019616737961769104, 0.018749922513961792, 0.16428783535957336, 0.011623410508036613, -0.0382552444934845, -0.005667450837790966, 0.07355207949876785, -0.08999872952699661, 0.008346661925315857, 0.09128055721521378, 0.05724913626909256, -0.005420293193310499, -0.034420572221279144, 0.09603674709796906]"
